label,original,lamb,gpt,davinci3
anger,i feel really selfish and feel guilty when i think about hurting myself,i feel really very selfish and feel almost guilty when i think about hurting myself,i feel incredibly selfish and feel guilty when i contemplate harming myself,i feel terribly selfish and wracked with guilt when i contemplate hurting myself
sadness,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel slightly remorseful for that,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel feeling slightly self patheticful for that,im way ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel a hint of remorse for that,im far ahead of the released tankouban sold here it just wont be the same and the wait wont be as thrilling yet i cant feel even slightly regretful for that
joy,i feel his gracious presence even now,i feel honored his gracious divine presence even now,i feel his joyful presence even now,i feel his loving presence now
joy,im feeling good these days and my only complaints are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,well im feeling good company these days and my only complaint are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,im feeling fantastic these days and my only concerns are that its becoming increasingly difficult to move around and chase after stone and its becoming increasingly challenging to find clothes that fit,im feeling great these days and my only qualms are that its becoming more difficult to maneuver and pursue stones and finding clothes that fit
fear,i have learned how to present in front of a class without feeling nervous,i have learned how to present in front of a class and without feeling very nervous,i have mastered how to present in front of a class without feeling terrified,i have learned how to present in front of a class without feeling anxious
anger,i feel bitchy saying it but i think that next saturday i just want to be alone,i feel bitchy without saying it but i secretly think that next sunday i just want to be alone,i feel angry saying it but i think that next saturday i just want to be alone,i feel testy saying it but i think that next saturday i prefer to be alone
joy,i love a hearty chat where i mean everything that i say and laugh from the heart gut w e not because i wanna let the person feel im entertained,"i love a hearty chat where i mean everything that i say and laugh from the heart gut whine not because i truly wanna let the person feel fine "" delighted",i adore a lively conversation where i genuinely express myself and laugh from the heart gut w e not because i want to let the person know im entertained,i love a hearty chat where i mean everything i say and laugh from the core not just because i want to make the person feel entertained
sadness,i feel and talk like a disadvantaged child and am waiting for half my face to come back to me,i feel bad and talk like a poor disadvantaged child and am waiting for half my face to come back to me,i feel and speak like a deprived child and am waiting for half my face to return to me,i feel and talk like a deprived child and await half my face to return
fear,i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,i feel scared that i am totally afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid. i hope god you will help me in whatever i do,i feel intense fear about whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,i feel filled with fear of whatever and anything that will happen and idc if its good or bad im just scared and i desperately hope god will help me in all i do
anger,im feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,"im feeling really angry really sarcastic caustic or there just been an influx of immature idiots into my floes daily """,im feeling extremely sarcastic and caustic due to an influx of idiots in my daily flist lives,im feeling really causticly sarcastic or theres been an influx of idiots into my flists daily lives
